Citra,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135,Label
1.png,0.0010402864964439399,15.413770692826402,7.400880759247155,14.413770692826503,0.0007731731993519932,26.031295474221434,7.691513010927393,25.03129547422135,0.0010292935611374578,14.255796035152192,7.399313672817677,13.25579603515228,0.0007471454269448945,28.830319626853104,7.746874463005681,27.83031962685297,1
10.png,0.0016813766848447558,6.92247700797056,6.989206615158226,5.922477007970537,0.0012351056861630814,15.390893592113034,7.377033638244979,14.390893592113144,0.0015315142475294484,8.903838136112808,7.135373203140985,7.903838136112772,0.0012729392870607884,13.181630819421274,7.327464452132798,12.181630819421216,1
100.png,0.0017221858313588214,10.823535663192192,7.0609578017791845,9.823535663192388,0.0013265492114805499,17.473680978958328,7.305727048884172,16.4736809789584,0.0017242856917306943,10.160018393623519,7.01450510070808,9.16001839362357,0.001328442600352972,18.645753897351867,7.304166800607227,17.645753897351835,1
101.png,0.0013732340197955488,7.514387901083193,7.094803097220228,6.514387901083155,0.000999319303970799,15.765690205300368,7.440459267200068,14.765690205300526,0.0011950530604893672,11.053601062742636,7.265946165679418,10.053601062742697,0.0009406212602053072,16.87510463547965,7.50074999284742,15.875104635479667,1
102.png,0.0013385750357048213,14.35287349274464,7.229302809791786,13.352873492744799,0.0009597760293927982,28.02145922746784,7.568035075572559,27.0214592274679,0.0011221994186734587,17.095393419170247,7.403856783782552,16.095393419170197,0.0008779894573258534,27.830239807122787,7.6537662739419465,26.830239807122755,1
103.png,0.0015673709932928499,11.55874105865521,7.106573764716833,10.558741058655272,0.0011876290346955962,22.297267095237366,7.429107091595958,21.297267095237196,0.0015436572552479995,12.716730022480954,7.167769177306838,11.716730022481022,0.0011638908021630106,20.826772765508068,7.434302909147965,19.82677276550815,1
104.png,0.0013357680815392688,11.675920703045069,7.105419521156069,10.67592070304524,0.0010112476532387435,20.442776416749012,7.389151381248766,19.442776416749155,0.0013351484887151209,10.690253423257587,7.09155966937226,9.690253423257731,0.0010036875941146094,18.875964232574244,7.381871516086505,17.875964232574297,1
105.png,0.0011400457069244282,18.25250153280197,7.305107065058257,17.252501532801865,0.0008672296264881875,29.254395713476068,7.571041068954052,28.254395713475976,0.0013452481572857192,13.682389127324647,7.149108834349243,12.68238912732476,0.0009612799672745443,27.235306517997333,7.482102680291665,26.23530651799743,1
106.png,0.0010824832385876026,15.585074596362054,7.306696227757078,14.585074596362146,0.0007476452448629334,40.82216368775351,7.705519638722968,39.82216368775348,0.0009178442603870948,28.341432658900384,7.503761262052619,27.34143265890016,0.0007324826876240588,38.64960161767992,7.710913092453321,37.64960161767998,1
107.png,0.001219550796612184,12.089178418148327,7.1705584632112105,11.089178418148407,0.0008041291076504644,27.037539833115304,7.591549066138728,26.03753983311544,0.0010661536943733071,14.857473942366568,7.303071216403637,13.85747394236661,0.0009047225153652788,20.81764670968744,7.457873138133285,19.817646709687583,1
